"","plate","Minimum","Maximum","Mean","StandardDeviation","Kurtosis","Skewness"
"1",1,7703.48478786247,10886.8120811914,9874.36841110875,520.841569176803,9.1463289321176,-2.00566448366259
"2",2,7324.51188995125,10355.2877474506,9697.84514764348,491.063199652897,12.0934086898875,-2.65706444597849
"3",3,7485.58611297315,9974.19251143601,9614.04413578737,428.945714760778,19.1297608881215,-4.12390292488549
"4",4,7690.5022081998,10272.6053264502,9522.70040939845,457.308576723501,9.69359162876963,-2.26232555907336
"5",5,7064.67116704629,10511.7489289794,9392.10033141157,567.234305567367,9.38907162496545,-2.26489390792849
"6",6,7113.18963572719,10051.9237246001,9285.99820733311,452.700770805261,11.4396406834956,-2.56836030880577
"7",7,7114.36951597915,9812.36667461983,9237.23674442878,443.668267561499,15.6593428947836,-3.42821239664589
"8",8,7242.45601377231,9537.84816913849,9137.09282547174,391.841954058982,15.0851311580393,-3.3638449703482
"9",9,7025.70724905517,9710.26345117072,9059.00477861525,443.350581050491,12.2472424755848,-2.74715700033222
"10",10,7090.9876968661,9607.45135511026,8949.91762517505,403.232229744034,12.6723237677003,-2.80444833675592
"11",11,7096.80530275652,10204.3912021627,8753.62836723595,605.934664880605,3.33922780452168,-0.500659885351595
"12",12,6493.09381762221,9921.8273793248,8766.34127794485,469.865381714203,10.7065078745645,-2.08619828856199
"13",13,6623.21492558162,9260.28195306875,8648.43870286213,434.033336632552,12.2192299683866,-2.72830430151101
"14",14,6724.81071737976,8943.44315465363,8524.6795926447,389.152544619712,14.9734071385493,-3.37390472965534
"15",15,6741.53259560432,9203.89006620768,8438.97632512297,356.721324525752,19.1362012631413,-4.02465554381263
"16",16,6509.24117203417,8680.9571417421,8344.56903219654,384.023380236861,16.409690748586,-3.65745838920322
"17",17,6222.24446443669,9078.25002406555,8232.61064779315,530.511162385686,7.31171930140152,-1.81088723734973
"18",18,6324.51189036705,8579.37682614726,8147.70616179565,401.642935617649,12.6780324195033,-2.9306467307447
"19",19,6457.74012371163,8893.85159183334,8041.3594211845,361.179541490629,14.8886608168186,-3.12066078361296
"20",20,6281.43611130803,8691.3228842463,7981.91308606114,389.402295069566,9.864610789737,-2.08837487414407
"21",21,7717.56190500955,10658.8583388227,9818.34563530441,494.687666809367,11.764064191991,-2.68595449842244
"22",22,7681.94054978322,11158.2652622731,9726.71019139406,493.849468469129,11.5915075454538,-2.29848066019394
"23",23,7399.90118575288,10232.1105490058,9621.38978172724,485.209193959457,13.0182272657588,-2.92721434054022
"24",24,7685.94806953132,11193.9911783407,9515.62157092677,678.098995953725,3.58555997181819,-0.146561034696587
"25",25,7549.1184047665,10268.0202785883,9433.64364332907,443.628666534319,12.4139691062379,-2.76231780453198
